top - 10:20:25 up 23:51,  4 users,  load average: 2.92, 2.78, 2.77
Tasks: 382 total,   5 running, 377 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.5 us, 58.1 sy,  0.0 ni, 28.6 id,  3.8 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   9866.5 total,    109.8 free,   9441.3 used,    596.3 buff/cache     
MiB Swap:  10240.0 total,   4641.1 free,   5598.9 used.    425.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    108 root       0 -20       0      0      0 I   0.0   0.0   0:03.67 kworker+
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    127 root       0 -20       0      0      0 I   0.0   0.0   0:03.88 kworker+
    129 root       0 -20       0      0      0 I   0.0   0.0   0:03.17 kworker+
    131 root       0 -20       0      0      0 I   0.0   0.0   0:03.45 kworker+
    174 root       0 -20       0      0      0 I   0.0   0.0   0:03.79 kworker+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:03.50 kworker+
    184 root       0 -20       0      0      0 I   0.0   0.0   0:03.18 kworker+
    319 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    514 root     -51   0       0      0      0 S   0.0   0.0   0:36.21 irq/51-+
    516 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ccp-1-q2
    517 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ccp-1-q3
    518 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ccp-1-q4
    519 root      20   0       0      0      0 S   0.0   0.0   0:00.02 hwrng
    529 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    530 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    531 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    532 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    564 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    565 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    566 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    567 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    568 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    569 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    570 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    571 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    572 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    573 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    574 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    575 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    576 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    577 root      20   0       0      0      0 S   0.0   0.0   0:00.04 btrfs-c+
    578 root      20   0       0      0      0 S   0.0   0.0   1:00.34 btrfs-t+
    609 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    610 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    611 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    612 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    613 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    614 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    615 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    616 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    617 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
    618 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    619 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    620 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    621 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    622 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
